HospitalCode,LatestRating,ProviderRegion,ProviderNHSRegion,RatingDate
TAF,Good,London,London,2018-06-03
TAH,Requires improvement,Yorkshire and The Humber,North East and Yorkshire,2022-02-16
TAH,Good,Yorkshire and The Humber,North East and Yorkshire,2017-03-30
TAH,Requires improvement,Yorkshire and The Humber,North East and Yorkshire,2020-04-30
TAH,Outstanding,Yorkshire and The Humber,North East and Yorkshire,2018-05-10
TAH,Requires improvement,Yorkshire and The Humber,North East and Yorkshire,2020-04-30
TAH,Good,Yorkshire and The Humber,North East and Yorkshire,2018-05-10
TAH,Requires improvement,Yorkshire and The Humber,North East and Yorkshire,2021-08-19
TAH,Requires improvement,Yorkshire and The Humber,North East and Yorkshire,2021-08-19
TAH,Good,Yorkshire and The Humber,North East and Yorkshire,2017-03-30
TAH,Requires improvement,Yorkshire and The Humber,North East and Yorkshire,2021-08-19
TAH,Inadequate,Yorkshire and The Humber,North East and Yorkshire,2021-07-15
